Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,Resource,Role
4,Send Request for Quotation to Supplier,Karel de Groot-Purchasing Agent,2011-01-02 02:42:00.000,2011-01-02 03:01:00.000,Variant 20,20,Karel de Groot,Purchasing Agent
4,Create Quotation comparison Map,Karel de Groot-Purchasing Agent,2011-01-02 03:48:00.000,2011-01-02 09:08:00.000,Variant 20,20,Karel de Groot,Purchasing Agent
4,Analyze Quotation Comparison Map,Elvira Lores-Requester,2011-01-02 15:59:00.000,2011-01-02 16:13:00.000,Variant 20,20,Elvira Lores,Requester
4,Choose best option,Kim Passa-Requester,2011-01-02 16:13:00.000,2011-01-02 16:13:00.000,Variant 20,20,Kim Passa,Requester
4,Settle Conditions With Supplier,Magdalena Predutta-Purchasing Agent,2011-01-02 19:13:00.000,2011-01-03 07:45:00.000,Variant 20,20,Magdalena Predutta,Purchasing Agent
4,Create Purchase Order,Magdalena Predutta-Purchasing Agent,2011-01-03 12:08:00.000,2011-01-03 12:17:00.000,Variant 20,20,Magdalena Predutta,Purchasing Agent
4,Confirm Purchase Order,Carmen Finacse-Supplier,2011-01-03 16:13:00.000,2011-01-03 16:38:00.000,Variant 20,20,Carmen Finacse,Supplier
4,Deliver Goods Services,Carmen Finacse-Supplier,2011-01-03 23:05:00.000,2011-01-05 02:30:00.000,Variant 20,20,Carmen Finacse,Supplier
4,Release Purchase Order,Miu Hanwan-Requester,2011-01-05 09:57:00.000,2011-01-05 09:58:00.000,Variant 20,20,Miu Hanwan,Requester
4,Approve Purchase Order for payment,Magdalena Predutta-Purchasing Agent,2011-01-06 00:29:00.000,2011-01-06 00:30:00.000,Variant 20,20,Magdalena Predutta,Purchasing Agent
4,Send Invoice,Esmeralda Clay-Supplier,2011-01-06 06:13:00.000,2011-01-06 06:13:00.000,Variant 20,20,Esmeralda Clay,Supplier
4,Authorize Supplier's Invoice payment,Pedro Alvares-Financial Manager,2011-01-06 20:39:00.000,2011-01-06 20:39:00.000,Variant 20,20,Pedro Alvares,Financial Manager
4,Pay Invoice,Karalda Nimwada-Financial Manager,2011-01-06 21:25:00.000,2011-01-06 21:32:00.000,Variant 20,20,Karalda Nimwada,Financial Manager
5,Create Purchase Requisition,Esmana Liubiata-Requester,2011-01-01 09:49:00.000,2011-01-01 10:35:00.000,Variant 20,20,Esmana Liubiata,Requester
5,Analyze Purchase Requisition,Maris Freeman-Requester Manager,2011-01-02 01:50:00.000,2011-01-02 01:57:00.000,Variant 20,20,Maris Freeman,Requester Manager
5,Create Request for Quotation,Maris Freeman-Requester Manager,2011-01-02 02:05:00.000,2011-01-02 02:06:00.000,Variant 20,20,Maris Freeman,Requester Manager
5,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-02 03:02:00.000,2011-01-02 03:27:00.000,Variant 20,20,Karel de Groot,Purchasing Agent
5,Amend Request for Quotation,Anne Olwada-Requester,2011-01-02 04:21:00.000,2011-01-02 04:33:00.000,Variant 20,20,Anne Olwada,Requester
5,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-02 09:08:00.000,2011-01-02 09:42:00.000,Variant 20,20,Karel de Groot,Purchasing Agent
5,Send Request for Quotation to Supplier,Karel de Groot-Purchasing Agent,2011-01-02 18:49:00.000,2011-01-02 19:21:00.000,Variant 20,20,Karel de Groot,Purchasing Agent
5,Create Quotation comparison Map,Karel de Groot-Purchasing Agent,2011-01-02 19:36:00.000,2011-01-02 20:14:00.000,Variant 20,20,Karel de Groot,Purchasing Agent
5,Analyze Quotation Comparison Map,Anne Olwada-Requester,2011-01-03 03:18:00.000,2011-01-03 03:30:00.000,Variant 20,20,Anne Olwada,Requester
5,Choose best option,Nico Ojenbeer-Requester,2011-01-03 03:30:00.000,2011-01-03 03:30:00.000,Variant 20,20,Nico Ojenbeer,Requester
5,Settle Conditions With Supplier,Magdalena Predutta-Purchasing Agent,2011-01-03 13:18:00.000,2011-01-03 19:12:00.000,Variant 20,20,Magdalena Predutta,Purchasing Agent
5,Create Purchase Order,Karel de Groot-Purchasing Agent,2011-01-03 21:01:00.000,2011-01-03 21:09:00.000,Variant 20,20,Karel de Groot,Purchasing Agent
5,Confirm Purchase Order,Karen Clarens-Supplier,2011-01-04 01:02:00.000,2011-01-04 01:24:00.000,Variant 20,20,Karen Clarens,Supplier
5,Deliver Goods Services,Kiu Kan-Supplier,2011-01-04 09:08:00.000,2011-01-05 04:37:00.000,Variant 20,20,Kiu Kan,Supplier
5,Release Purchase Order,Anna Kaufmann-Requester,2011-01-05 12:13:00.000,2011-01-05 12:14:00.000,Variant 20,20,Anna Kaufmann,Requester
5,Approve Purchase Order for payment,Francois de Perrier-Purchasing Agent,2011-01-06 02:41:00.000,2011-01-06 02:42:00.000,Variant 20,20,Francois de Perrier,Purchasing Agent
5,Send Invoice,Esmeralda Clay-Supplier,2011-01-06 08:23:00.000,2011-01-06 08:23:00.000,Variant 20,20,Esmeralda Clay,Supplier
5,Authorize Supplier's Invoice payment,Karalda Nimwada-Financial Manager,2011-01-06 22:47:00.000,2011-01-06 22:47:00.000,Variant 20,20,Karalda Nimwada,Financial Manager
5,Pay Invoice,Karalda Nimwada-Financial Manager,2011-01-06 22:55:00.000,2011-01-06 23:04:00.000,Variant 20,20,Karalda Nimwada,Financial Manager
9,Create Purchase Requisition,Tesca Lobes-Requester,2011-01-01 16:17:00.000,2011-01-01 16:34:00.000,Variant 29,29,Tesca Lobes,Requester
9,Create Request for Quotation,Penn Osterwalder-Requester,2011-01-01 22:38:00.000,2011-01-01 22:48:00.000,Variant 29,29,Penn Osterwalder,Requester
9,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-01 23:49:00.000,2011-01-02 00:12:00.000,Variant 29,29,Karel de Groot,Purchasing Agent
9,Amend Request for Quotation,Heinz Gutschmidt-Requester Manager,2011-01-02 16:04:00.000,2011-01-02 16:30:00.000,Variant 29,29,Heinz Gutschmidt,Requester Manager
9,Analyze Request for Quotation,Magdalena Predutta-Purchasing Agent,2011-01-02 17:27:00.000,2011-01-02 17:51:00.000,Variant 29,29,Magdalena Predutta,Purchasing Agent
9,Amend Request for Quotation,Fjodor Kowalski-Requester,2011-01-02 18:46:00.000,2011-01-02 18:57:00.000,Variant 29,29,Fjodor Kowalski,Requester
9,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-02 20:28:00.000,2011-01-02 20:45:00.000,Variant 29,29,Karel de Groot,Purchasing Agent
9,Amend Request for Quotation,Elvira Lores-Requester,2011-01-02 21:43:00.000,2011-01-02 21:49:00.000,Variant 29,29,Elvira Lores,Requester
9,Analyze Request for Quotation,Francois de Perrier-Purchasing Agent,2011-01-02 22:54:00.000,2011-01-02 23:26:00.000,Variant 29,29,Francois de Perrier,Purchasing Agent
9,Amend Request for Quotation,Esmana Liubiata-Requester,2011-01-03 00:14:00.000,2011-01-03 00:25:00.000,Variant 29,29,Esmana Liubiata,Requester
9,Analyze Request for Quotation,Magdalena Predutta-Purchasing Agent,2011-01-03 07:45:00.000,2011-01-03 08:00:00.000,Variant 29,29,Magdalena Predutta,Purchasing Agent
9,Amend Request for Quotation,Heinz Gutschmidt-Requester Manager,2011-01-04 00:04:00.000,2011-01-04 00:25:00.000,Variant 29,29,Heinz Gutschmidt,Requester Manager
9,Analyze Request for Quotation,Francois de Perrier-Purchasing Agent,2011-01-04 02:02:00.000,2011-01-04 02:23:00.000,Variant 29,29,Francois de Perrier,Purchasing Agent
9,Amend Request for Quotation,Anna Kaufmann-Requester,2011-01-04 03:12:00.000,2011-01-04 03:22:00.000,Variant 29,29,Anna Kaufmann,Requester
9,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-04 05:51:00.000,2011-01-04 05:56:00.000,Variant 29,29,Karel de Groot,Purchasing Agent
12,Create Purchase Requisition,Alberto Duport-Requester,2011-01-02 05:31:00.000,2011-01-02 05:41:00.000,Variant 30,30,Alberto Duport,Requester
12,Analyze Purchase Requisition,Francis Odell-Requester Manager,2011-01-02 23:35:00.000,2011-01-02 23:41:00.000,Variant 30,30,Francis Odell,Requester Manager
12,Amend Purchase Requisition,Penn Osterwalder-Requester,2011-01-03 11:31:00.000,2011-01-03 11:57:00.000,Variant 30,30,Penn Osterwalder,Requester
12,Create Request for Quotation,Tesca Lobes-Requester,2011-01-03 17:18:00.000,2011-01-03 17:28:00.000,Variant 30,30,Tesca Lobes,Requester
12,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-03 18:32:00.000,2011-01-03 18:36:00.000,Variant 30,30,Karel de Groot,Purchasing Agent
12,Amend Request for Quotation,Penn Osterwalder-Requester,2011-01-03 19:22:00.000,2011-01-03 19:27:00.000,Variant 30,30,Penn Osterwalder,Requester
12,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-03 20:24:00.000,2011-01-03 20:46:00.000,Variant 30,30,Karel de Groot,Purchasing Agent
12,Amend Request for Quotation,Penn Osterwalder-Requester,2011-01-03 21:35:00.000,2011-01-03 21:40:00.000,Variant 30,30,Penn Osterwalder,Requester
12,Analyze Request for Quotation,Magdalena Predutta-Purchasing Agent,2011-01-03 22:41:00.000,2011-01-03 22:52:00.000,Variant 30,30,Magdalena Predutta,Purchasing Agent
12,Amend Request for Quotation,Penn Osterwalder-Requester,2011-01-03 23:40:00.000,2011-01-03 23:54:00.000,Variant 30,30,Penn Osterwalder,Requester
12,Analyze Request for Quotation,Francois de Perrier-Purchasing Agent,2011-01-04 00:45:00.000,2011-01-04 01:35:00.000,Variant 30,30,Francois de Perrier,Purchasing Agent
12,Send Request for Quotation to Supplier,Magdalena Predutta-Purchasing Agent,2011-01-04 18:40:00.000,2011-01-04 19:03:00.000,Variant 30,30,Magdalena Predutta,Purchasing Agent
12,Create Quotation comparison Map,Magdalena Predutta-Purchasing Agent,2011-01-04 19:42:00.000,2011-01-05 00:34:00.000,Variant 30,30,Magdalena Predutta,Purchasing Agent
12,Analyze Quotation Comparison Map,Esmana Liubiata-Requester,2011-01-05 07:34:00.000,2011-01-05 07:41:00.000,Variant 30,30,Esmana Liubiata,Requester
12,Choose best option,Immanuel Karagianni-Requester,2011-01-05 07:41:00.000,2011-01-05 07:41:00.000,Variant 30,30,Immanuel Karagianni,Requester
12,Settle Conditions With Supplier,Magdalena Predutta-Purchasing Agent,2011-01-06 00:30:00.000,2011-01-06 05:00:00.000,Variant 30,30,Magdalena Predutta,Purchasing Agent
12,Create Purchase Order,Francois de Perrier-Purchasing Agent,2011-01-06 13:20:00.000,2011-01-06 13:27:00.000,Variant 30,30,Francois de Perrier,Purchasing Agent
12,Confirm Purchase Order,Kiu Kan-Supplier,2011-01-07 01:33:00.000,2011-01-07 01:39:00.000,Variant 30,30,Kiu Kan,Supplier
12,Deliver Goods Services,Sean Manney-Supplier,2011-01-07 07:08:00.000,2011-01-08 13:08:00.000,Variant 30,30,Sean Manney,Supplier
12,Release Purchase Order,Christian Francois-Requester,2011-01-08 20:16:00.000,2011-01-08 20:17:00.000,Variant 30,30,Christian Francois,Requester
12,Approve Purchase Order for payment,Magdalena Predutta-Purchasing Agent,2011-01-08 22:48:00.000,2011-01-08 22:49:00.000,Variant 30,30,Magdalena Predutta,Purchasing Agent
12,Send Invoice,Karen Clarens-Supplier,2011-01-10 01:16:00.000,2011-01-10 01:16:00.000,Variant 30,30,Karen Clarens,Supplier
12,Release Supplier's Invoice,Pedro Alvares-Financial Manager,2011-01-10 15:41:00.000,2011-01-10 15:46:00.000,Variant 30,30,Pedro Alvares,Financial Manager
12,Authorize Supplier's Invoice payment,Karalda Nimwada-Financial Manager,2011-01-10 15:46:00.000,2011-01-10 15:46:00.000,Variant 30,30,Karalda Nimwada,Financial Manager
12,Pay Invoice,Pedro Alvares-Financial Manager,2011-01-10 15:53:00.000,2011-01-10 16:02:00.000,Variant 30,30,Pedro Alvares,Financial Manager
13,Create Purchase Requisition,Anna Kaufmann-Requester,2011-01-02 07:47:00.000,2011-01-02 08:06:00.000,Variant 17,17,Anna Kaufmann,Requester
13,Create Request for Quotation,Anna Kaufmann-Requester,2011-01-02 11:39:00.000,2011-01-02 11:48:00.000,Variant 17,17,Anna Kaufmann,Requester
13,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-02 15:33:00.000,2011-01-02 16:15:00.000,Variant 17,17,Karel de Groot,Purchasing Agent
13,Amend Request for Quotation,Anne Olwada-Requester,2011-01-02 17:04:00.000,2011-01-02 17:18:00.000,Variant 17,17,Anne Olwada,Requester
13,Analyze Request for Quotation,Magdalena Predutta-Purchasing Agent,2011-01-02 18:29:00.000,2011-01-02 19:01:00.000,Variant 17,17,Magdalena Predutta,Purchasing Agent
13,Amend Request for Quotation,Christian Francois-Requester,2011-01-02 19:51:00.000,2011-01-02 19:57:00.000,Variant 17,17,Christian Francois,Requester
13,Analyze Request for Quotation,Francois de Perrier-Purchasing Agent,2011-01-02 21:04:00.000,2011-01-02 21:35:00.000,Variant 17,17,Francois de Perrier,Purchasing Agent
13,Amend Request for Quotation,Anne Olwada-Requester,2011-01-02 22:23:00.000,2011-01-02 22:32:00.000,Variant 17,17,Anne Olwada,Requester
13,Analyze Request for Quotation,Francois de Perrier-Purchasing Agent,2011-01-02 23:27:00.000,2011-01-02 23:46:00.000,Variant 17,17,Francois de Perrier,Purchasing Agent
13,Send Request for Quotation to Supplier,Karel de Groot-Purchasing Agent,2011-01-03 15:19:00.000,2011-01-03 15:54:00.000,Variant 17,17,Karel de Groot,Purchasing Agent
13,Create Quotation comparison Map,Karel de Groot-Purchasing Agent,2011-01-03 16:28:00.000,2011-01-03 18:32:00.000,Variant 17,17,Karel de Groot,Purchasing Agent
13,Analyze Quotation Comparison Map,Clement Duchot-Requester,2011-01-04 01:42:00.000,2011-01-04 02:00:00.000,Variant 17,17,Clement Duchot,Requester
13,Choose best option,Nico Ojenbeer-Requester,2011-01-04 02:00:00.000,2011-01-04 02:00:00.000,Variant 17,17,Nico Ojenbeer,Requester
13,Settle Conditions With Supplier,Francois de Perrier-Purchasing Agent,2011-01-04 04:02:00.000,2011-01-04 08:01:00.000,Variant 17,17,Francois de Perrier,Purchasing Agent
13,Create Purchase Order,Karel de Groot-Purchasing Agent,2011-01-04 10:11:00.000,2011-01-04 10:23:00.000,Variant 17,17,Karel de Groot,Purchasing Agent
13,Confirm Purchase Order,Carmen Finacse-Supplier,2011-01-05 02:30:00.000,2011-01-05 02:37:00.000,Variant 17,17,Carmen Finacse,Supplier
13,Deliver Goods Services,Sean Manney-Supplier,2011-01-05 13:37:00.000,2011-01-07 05:21:00.000,Variant 17,17,Sean Manney,Supplier
13,Release Purchase Order,Christian Francois-Requester,2011-01-07 13:09:00.000,2011-01-07 13:10:00.000,Variant 17,17,Christian Francois,Requester
13,Settle Dispute With Supplier,Francois de Perrier-Purchasing Agent,2011-01-07 21:34:00.000,2011-01-08 06:37:00.000,Variant 17,17,Francois de Perrier,Purchasing Agent
13,Release Purchase Order,Immanuel Karagianni-Requester,2011-01-08 14:22:00.000,2011-01-08 14:23:00.000,Variant 17,17,Immanuel Karagianni,Requester
13,Approve Purchase Order for payment,Francois de Perrier-Purchasing Agent,2011-01-09 02:01:00.000,2011-01-09 02:02:00.000,Variant 17,17,Francois de Perrier,Purchasing Agent
13,Send Invoice,Sean Manney-Supplier,2011-01-09 15:46:00.000,2011-01-09 15:46:00.000,Variant 17,17,Sean Manney,Supplier
13,Release Supplier's Invoice,Pedro Alvares-Financial Manager,2011-01-10 06:22:00.000,2011-01-10 06:25:00.000,Variant 17,17,Pedro Alvares,Financial Manager
13,Authorize Supplier's Invoice payment,Pedro Alvares-Financial Manager,2011-01-10 06:25:00.000,2011-01-10 06:25:00.000,Variant 17,17,Pedro Alvares,Financial Manager
13,Pay Invoice,Pedro Alvares-Financial Manager,2011-01-10 06:36:00.000,2011-01-10 06:49:00.000,Variant 17,17,Pedro Alvares,Financial Manager
14,Create Purchase Requisition,Miu Hanwan-Requester,2011-01-02 13:58:00.000,2011-01-02 14:50:00.000,Variant 10,10,Miu Hanwan,Requester
14,Analyze Purchase Requisition,Maris Freeman-Requester Manager,2011-01-03 04:56:00.000,2011-01-03 05:04:00.000,Variant 10,10,Maris Freeman,Requester Manager
14,Create Request for Quotation,Maris Freeman-Requester Manager,2011-01-03 05:11:00.000,2011-01-03 05:14:00.000,Variant 10,10,Maris Freeman,Requester Manager
14,Analyze Request for Quotation,Magdalena Predutta-Purchasing Agent,2011-01-03 12:17:00.000,2011-01-03 12:52:00.000,Variant 10,10,Magdalena Predutta,Purchasing Agent
14,Amend Request for Quotation,Christian Francois-Requester,2011-01-03 13:45:00.000,2011-01-03 13:56:00.000,Variant 10,10,Christian Francois,Requester
14,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-03 14:28:00.000,2011-01-03 14:57:00.000,Variant 10,10,Karel de Groot,Purchasing Agent
14,Amend Request for Quotation,Tesca Lobes-Requester,2011-01-03 15:52:00.000,2011-01-03 15:59:00.000,Variant 10,10,Tesca Lobes,Requester
14,Analyze Request for Quotation,Magdalena Predutta-Purchasing Agent,2011-01-03 20:06:00.000,2011-01-03 20:38:00.000,Variant 10,10,Magdalena Predutta,Purchasing Agent
14,Amend Request for Quotation,Clement Duchot-Requester,2011-01-03 21:26:00.000,2011-01-03 21:33:00.000,Variant 10,10,Clement Duchot,Requester
14,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-03 22:44:00.000,2011-01-03 23:21:00.000,Variant 10,10,Karel de Groot,Purchasing Agent
14,Send Request for Quotation to Supplier,Francois de Perrier-Purchasing Agent,2011-01-04 08:01:00.000,2011-01-04 08:18:00.000,Variant 10,10,Francois de Perrier,Purchasing Agent
14,Create Quotation comparison Map,Karel de Groot-Purchasing Agent,2011-01-04 11:26:00.000,2011-01-04 16:43:00.000,Variant 10,10,Karel de Groot,Purchasing Agent
14,Analyze Quotation Comparison Map,Penn Osterwalder-Requester,2011-01-04 22:51:00.000,2011-01-04 23:00:00.000,Variant 10,10,Penn Osterwalder,Requester
14,Choose best option,Anne Olwada-Requester,2011-01-04 23:00:00.000,2011-01-04 23:00:00.000,Variant 10,10,Anne Olwada,Requester
14,Settle Conditions With Supplier,Francois de Perrier-Purchasing Agent,2011-01-05 02:26:00.000,2011-01-05 16:28:00.000,Variant 10,10,Francois de Perrier,Purchasing Agent
14,Create Purchase Order,Francois de Perrier-Purchasing Agent,2011-01-06 13:27:00.000,2011-01-06 13:40:00.000,Variant 10,10,Francois de Perrier,Purchasing Agent
14,Confirm Purchase Order,Kiu Kan-Supplier,2011-01-07 02:28:00.000,2011-01-07 02:40:00.000,Variant 10,10,Kiu Kan,Supplier
14,Deliver Goods Services,Kiu Kan-Supplier,2011-01-08 01:26:00.000,2011-01-09 11:38:00.000,Variant 10,10,Kiu Kan,Supplier
14,Release Purchase Order,Immanuel Karagianni-Requester,2011-01-09 18:55:00.000,2011-01-09 18:56:00.000,Variant 10,10,Immanuel Karagianni,Requester
14,Approve Purchase Order for payment,Francois de Perrier-Purchasing Agent,2011-01-10 05:22:00.000,2011-01-10 05:23:00.000,Variant 10,10,Francois de Perrier,Purchasing Agent
14,Send Invoice,Sean Manney-Supplier,2011-01-10 20:27:00.000,2011-01-10 20:27:00.000,Variant 10,10,Sean Manney,Supplier
14,Release Supplier's Invoice,Pedro Alvares-Financial Manager,2011-01-11 10:49:00.000,2011-01-11 10:53:00.000,Variant 10,10,Pedro Alvares,Financial Manager
14,Settle Dispute With Supplier,Pedro Alvares-Financial Manager,2011-01-11 11:10:00.000,2011-01-11 11:26:00.000,Variant 10,10,Pedro Alvares,Financial Manager
14,Authorize Supplier's Invoice payment,Pedro Alvares-Financial Manager,2011-01-11 11:26:00.000,2011-01-11 11:26:00.000,Variant 10,10,Pedro Alvares,Financial Manager
14,Pay Invoice,Karalda Nimwada-Financial Manager,2011-01-11 11:59:00.000,2011-01-11 12:05:00.000,Variant 10,10,Karalda Nimwada,Financial Manager
16,Create Purchase Requisition,Esmana Liubiata-Requester,2011-01-02 19:25:00.000,2011-01-02 20:14:00.000,Variant 8,8,Esmana Liubiata,Requester
16,Create Request for Quotation,Immanuel Karagianni-Requester,2011-01-02 20:56:00.000,2011-01-02 21:05:00.000,Variant 8,8,Immanuel Karagianni,Requester
16,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-02 21:53:00.000,2011-01-02 22:13:00.000,Variant 8,8,Karel de Groot,Purchasing Agent
16,Amend Request for Quotation,Kim Passa-Requester,2011-01-02 23:05:00.000,2011-01-02 23:11:00.000,Variant 8,8,Kim Passa,Requester
16,Analyze Request for Quotation,Francois de Perrier-Purchasing Agent,2011-01-03 00:00:00.000,2011-01-03 00:23:00.000,Variant 8,8,Francois de Perrier,Purchasing Agent
16,Amend Request for Quotation,Heinz Gutschmidt-Requester Manager,2011-01-03 16:12:00.000,2011-01-03 16:25:00.000,Variant 8,8,Heinz Gutschmidt,Requester Manager
16,Analyze Request for Quotation,Magdalena Predutta-Purchasing Agent,2011-01-03 19:12:00.000,2011-01-03 19:45:00.000,Variant 8,8,Magdalena Predutta,Purchasing Agent
16,Amend Request for Quotation,Fjodor Kowalski-Requester,2011-01-03 20:34:00.000,2011-01-03 20:44:00.000,Variant 8,8,Fjodor Kowalski,Requester
16,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-03 21:50:00.000,2011-01-03 22:15:00.000,Variant 8,8,Karel de Groot,Purchasing Agent
16,Send Request for Quotation to Supplier,Magdalena Predutta-Purchasing Agent,2011-01-04 18:16:00.000,2011-01-04 18:40:00.000,Variant 8,8,Magdalena Predutta,Purchasing Agent
16,Create Quotation comparison Map,Francois de Perrier-Purchasing Agent,2011-01-04 20:45:00.000,2011-01-05 02:14:00.000,Variant 8,8,Francois de Perrier,Purchasing Agent
16,Analyze Quotation Comparison Map,Tesca Lobes-Requester,2011-01-05 08:56:00.000,2011-01-05 09:26:00.000,Variant 8,8,Tesca Lobes,Requester
16,Choose best option,Elvira Lores-Requester,2011-01-05 09:26:00.000,2011-01-05 09:26:00.000,Variant 8,8,Elvira Lores,Requester
16,Settle Conditions With Supplier,Francois de Perrier-Purchasing Agent,2011-01-05 16:28:00.000,2011-01-06 02:06:00.000,Variant 8,8,Francois de Perrier,Purchasing Agent
16,Create Purchase Order,Francois de Perrier-Purchasing Agent,2011-01-06 13:48:00.000,2011-01-06 14:00:00.000,Variant 8,8,Francois de Perrier,Purchasing Agent
16,Confirm Purchase Order,Karen Clarens-Supplier,2011-01-06 19:11:00.000,2011-01-06 19:31:00.000,Variant 8,8,Karen Clarens,Supplier
16,Deliver Goods Services,Kiu Kan-Supplier,2011-01-07 02:57:00.000,2011-01-08 01:26:00.000,Variant 8,8,Kiu Kan,Supplier
16,Release Purchase Order,Anna Kaufmann-Requester,2011-01-08 09:14:00.000,2011-01-08 09:15:00.000,Variant 8,8,Anna Kaufmann,Requester
